trackId,frame,x,y,sceneId
17,0001,601.26,125.83,train_026
25,0001,566.12,332.12,train_026
42,0001,799.87,532.22,train_026
6,0001,207.83,266.19,train_026
3,0001,7.52,122.65,train_026
9,0001,297.95,193.55,train_026
11,0001,303.58,21.93,train_026
1,0001,39.7,27.4,train_026
35,0001,1089.76,112.22,train_026
24,0001,690.63,310.71,train_026
21,0001,581.86,261.04,train_026
26,0001,613.9,318.64,train_026
28,0001,789.59,297.03,train_026
36,0001,1178.6,60.37,train_026
34,0001,1075.99,108.36,train_026
15,0001,482.08,148.14,train_026
29,0001,849.09,362.48,train_026
32,0001,1196.75,323.72,train_026
40,0001,1277.63,509.22,train_026
10,0001,290.69,117.71,train_026
43,0001,107.93,609.83,train_026
30,0001,922.22,373.49,train_026
7,0001,27.57,393.6,train_026
2,0001,60.0,25.33,train_026
18,0001,470.94,209.94,train_026
39,0001,1103.6,470.3,train_026
13,0001,534.02,77.08,train_026
31,0001,953.95,352.02,train_026
5,0001,131.26,286.89,train_026
27,0001,747.81,313.81,train_026
16,0001,543.73,137.22,train_026
33,0001,1053.59,169.02,train_026
19,0001,521.55,224.16,train_026
14,0001,625.62,74.79,train_026
37,0001,908.71,33.41,train_026
20,0001,519.18,237.11,train_026
4,0001,93.92,292.17,train_026
38,0001,1183.93,426.36,train_026
41,0001,899.4,535.84,train_026
23,0001,752.48,185.29,train_026
12,0001,334.45,11.08,train_026
8,0001,267.08,199.6,train_026
22,0001,696.87,185.59,train_026
10,0002,290.8,123.28,train_026
22,0002,699.57,189.43,train_026
14,0002,627.08,74.91,train_026
7,0002,25.0,391.86,train_026
34,0002,1076.09,109.58,train_026
32,0002,1182.28,329.46,train_026
31,0002,968.4,362.78,train_026
30,0002,925.09,381.2,train_026
43,0002,104.9,607.9,train_026
5,0002,144.26,289.77,train_026
19,0002,523.98,220.77,train_026
15,0002,491.07,156.66,train_026
18,0002,471.69,211.4,train_026
3,0002,18.74,119.14,train_026
38,0002,1192.27,433.23,train_026
25,0002,558.21,325.24,train_026
4,0002,101.71,293.74,train_026
12,0002,332.53,8.23,train_026
13,0002,533.53,77.69,train_026
37,0002,896.83,31.0,train_026
26,0002,603.1,311.26,train_026
1,0002,40.4,26.33,train_026
28,0002,804.0,293.78,train_026
17,0002,612.18,129.14,train_026
20,0002,519.66,237.62,train_026
24,0002,682.84,298.45,train_026
16,0002,549.61,143.29,train_026
33,0002,1057.6,166.12,train_026
29,0002,859.41,377.96,train_026
11,0002,304.95,15.3,train_026
35,0002,1090.67,112.67,train_026
36,0002,1201.96,65.09,train_026
21,0002,577.1,257.19,train_026
6,0002,221.75,267.97,train_026
9,0002,299.18,199.74,train_026
41,0002,888.42,520.6,train_026
23,0002,761.42,187.65,train_026
2,0002,62.92,25.2,train_026
27,0002,738.77,302.93,train_026
42,0002,783.08,515.74,train_026
8,0002,268.61,207.86,train_026
39,0002,1115.51,478.69,train_026
37,0003,885.27,26.23,train_026
23,0003,774.01,191.61,train_026
18,0003,466.98,207.31,train_026
14,0003,629.65,73.72,train_026
24,0003,677.2,286.15,train_026
15,0003,501.86,158.16,train_026
7,0003,26.36,393.04,train_026
1,0003,39.36,26.96,train_026
17,0003,620.04,138.36,train_026
3,0003,27.71,120.74,train_026
10,0003,290.24,126.91,train_026
12,0003,331.25,6.18,train_026
34,0003,1077.77,108.22,train_026
39,0003,1126.64,496.04,train_026
30,0003,938.48,392.52,train_026
44,0003,3.36,133.63,train_026
27,0003,735.26,296.52,train_026
43,0003,91.44,600.28,train_026
19,0003,530.63,221.58,train_026
8,0003,266.86,215.96,train_026
4,0003,117.31,302.42,train_026
41,0003,884.53,501.91,train_026
13,0003,531.43,77.99,train_026
16,0003,557.56,147.36,train_026
20,0003,519.97,238.3,train_026
22,0003,707.5,193.97,train_026
21,0003,574.71,257.65,train_026
26,0003,598.51,307.02,train_026
32,0003,1170.11,333.36,train_026
9,0003,297.9,207.46,train_026
