trackId,frame,xCenterVis,yCenterVis,recordingId
1,0,262.5892332045239,287.96252590537114,21
1,10,269.0848738802661,285.9445491874643,21
1,20,275.2462139571276,283.76423004286727,21
1,30,281.20685092046284,281.5233521606516,21
1,40,287.0494392635079,278.9976845393651,21
1,50,292.77684325087984,276.4409191879501,21
1,60,298.46312458196354,273.75679635623936,21
1,70,303.90737555290286,270.8654235204489,21
1,80,309.30262713985695,267.96116149388166,21
1,90,314.6277042436922,265.08574670381506,21
1,100,319.7958605645768,262.25871752674436,21
1,110,324.97056377601467,258.93269253531014,21
1,120,330.203063755619,255.57096653132712,21
1,130,335.42308372510587,252.12617685344844,21
1,140,340.3622011717879,248.38411742638144,21
1,150,344.853981862379,244.4965942748321,21
1,160,349.1164167932728,240.62605212065554,21
1,170,353.6244624150823,236.99549442332537,21
1,180,358.44716796411245,233.4509669596729,21
1,190,363.34137783340503,230.03492222313002,21
1,200,367.98741963265957,226.38226877018232,21
1,210,372.23890898090946,222.8682252656689,21
1,220,376.4289189350568,219.2966918784838,21
1,230,380.88438484210974,215.61519118903541,21
1,240,385.44869280461216,212.1086152315594,21
1,250,390.0493155506527,208.61513305519017,21
1,260,394.5958241544633,205.25350934637206,21
1,270,399.0595759698727,201.94006666022003,21
1,280,403.1910730896994,198.48289926738892,21
1,290,406.9027508527923,195.3168639138523,21
1,300,410.44226585336486,192.0752324334574,21
1,310,414.26943485762536,189.00187649931672,21
1,320,418.5389281548971,186.24338508272646,21
1,330,422.90151005222424,182.95878963307518,21
1,340,427.47410392308325,179.75285916522907,21
1,350,432.48390732870854,177.01697498008085,21
1,360,437.9216114090945,174.70275146463464,21
1,370,443.39194764708236,172.85325488331182,21
1,380,448.6737538961666,171.07700164005462,21
1,390,453.74963997831486,169.02526751773206,21
1,400,458.5707088047066,166.91164482064727,21
1,410,463.2232974945145,164.39037589145127,21
1,420,467.73686705522846,161.89989780688896,21
1,430,471.9330147192695,160.14962753551544,21
1,440,475.6152314748722,158.9789616684436,21
1,450,478.61063849336205,158.20622399281788,21
1,460,480.89120689955735,156.96200790218572,21
1,470,482.8075022235574,154.72245985711376,21
1,480,485.26524585535293,152.24139292772193,21
1,490,488.4349638348258,150.39210093672887,21
1,500,491.9801050694676,149.55461042172388,21
1,510,495.42642917481976,149.92522580414274,21
1,520,498.3621981121751,151.41218832107356,21
1,530,500.5216490431333,153.73889184663702,21
1,540,502.7574121671041,155.8153813988645,21
1,550,505.2935138952101,157.7323927890188,21
1,560,507.57121803678837,159.29147339720143,21
1,570,509.7827372066788,160.51349143705113,21
1,580,512.1998696580105,161.4450935037606,21
1,590,515.0472555728956,162.69790238824405,21
3,0,244.54416152650882,295.68683380668136,21
3,10,248.64957337928703,294.5430715679772,21
3,20,254.08922106780605,293.051608063791,21
3,30,260.41126684871944,291.2664551411878,21
3,40,266.74640641073955,289.4586949871426,21
3,50,272.99786852787463,287.43550121582604,21
3,60,279.0980360961282,285.18633742525384,21
3,70,284.7531174019186,282.7177505059794,21
3,80,290.1655545765752,279.9670335219212,21
3,90,295.69880234097417,276.9915740605862,21
3,100,301.17987957127616,273.9162745183125,21
3,110,306.7491352337186,270.25093646491763,21
3,120,312.25118297282427,266.41046908922056,21
3,130,317.6590168650606,262.80896321872086,21
3,140,322.8345384378177,259.24254458978066,21
3,150,327.98898720660617,255.1041936939059,21
3,160,333.2115645552155,249.79261955183688,21
3,170,338.5089196693638,244.14889300935002,21
3,180,342.7943710123593,239.60115686356073,21
3,190,346.5651753807622,236.28873712905772,21
3,200,350.52236153960575,232.88691142043538,21
3,210,354.6642927662519,228.7710654608378,21
3,220,358.9913782413601,224.44172949210187,21
3,230,363.2817397522706,220.738951408355,21
3,240,367.5333313956855,217.4170182235166,21
3,250,371.6626803170493,214.34601507816853,21
3,260,375.8774457011015,211.4625189700752,21
3,270,380.1491894920009,209.126608879671,21
3,280,384.2607390546729,206.66497803160948,21
3,290,389.2113135598233,202.88772906781819,21
3,300,394.58232119269695,198.63705808088744,21
3,310,399.1540967022368,195.01754826136607,21
3,320,403.39474276300774,192.0886331000588,21
3,330,408.2827126272416,189.42762897561457,21
3,340,413.98546347987366,186.06948330240297,21
3,350,420.0045109823646,181.6103347694138,21
3,360,424.16761730814414,177.45960615858658,21
3,370,428.39588565396275,173.61954796354908,21
3,380,433.22892301464736,169.7678281197134,21
3,390,438.30102417569447,166.42789098585328,21
3,400,443.55183498981506,162.8114500212788,21
3,410,449.42848762277055,158.8536500914458,21
3,420,455.40365049952106,154.43705634705344,21
3,430,461.2380552293744,149.8828756058757,21
3,440,467.1545006814745,146.19380507422497,21
3,450,472.9410312741564,143.64256366171432,21
3,460,478.22611096851733,142.0629217253876,21
3,470,483.4913454008883,141.34030868056104,21
3,480,488.8190821790109,141.35053819705064,21
3,490,493.99102342099667,142.00082856029562,21
3,500,498.3373403871053,142.96332376680374,21
3,510,502.0978129438536,144.1544486668548,21
3,520,505.56879018394574,145.54208257867143,21
3,530,509.0835497546134,147.13021501368453,21
3,540,512.5943198138501,149.12844876476643,21
3,550,515.8273585003938,151.5227693943263,21
3,560,518.7509543131265,153.98757139249963,21
3,570,521.1815897262244,156.39958908558654,21
3,580,522.788032995754,158.54482098862425,21
3,590,523.5550421421455,160.5595242612544,21
3,600,524.3616395173518,162.47602417558423,21
3,610,525.9618427818227,164.22956789223448,21
3,620,527.7863793429109,166.0098106469226,21
3,630,529.654289053915,167.7160939973908,21
